518078 function calls (514214 primitive calls) in 7.743 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 client_session.py:768(_pinned_address)
      118    0.001    0.000    0.001    0.000 client_session.py:790(_apply_to)
        1    0.000    0.000    0.000    0.000 client_session.py:835(__init__)
      294    0.001    0.000    0.001    0.000 client_session.py:850(timed_out)
      118    0.000    0.000    0.001    0.000 client_session.py:876(get_server_session)
       60    0.000    0.000    0.001    0.000 client_session.py:892(return_server_session)
      118    0.000    0.000    0.000    0.000 client_session.py:897(return_server_session_no_lock)
      178    0.000    0.000    0.001    0.000 client_session.py:901(_clear_stale)
        1    0.000    0.000    0.000    0.000 codecs.py:1062(make_identity_dict)
        1    0.000    0.000    0.000    0.000 codecs.py:1070(<dictcomp>)
      522    0.000    0.000    0.000    0.000 codecs.py:348(__init__)
     6902    0.007    0.000    0.015    0.000 codecs.py:373(write)
      522    0.002    0.000    0.002    0.000 codecs.py:423(__init__)
      522    0.002    0.000    0.005    0.000 codecs.py:681(__init__)
     6902    0.004    0.000    0.019    0.000 codecs.py:719(write)
      522    0.000    0.000    0.001    0.000 codecs.py:738(__getattr__)
      522    0.005    0.000    0.581    0.001 codecs.py:871(open)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
      236    0.000    0.000    0.000    0.000 collation.py:216(validate_collation_or_none)
       58    0.000    0.000    0.002    0.000 collection.py:1277(find)
       60    0.001    0.000    3.948    0.066 collection.py:197(_command)
       60    0.001    0.000    3.994    0.067 collection.py:2619(distinct)
       60    0.000    0.000    3.948    0.066 collection.py:2665(_cmd)
       58    0.000    0.000    0.000    0.000 collection.py:311(name)
      232    0.000    0.000    0.000    0.000 collection.py:316(database)
       58    0.000    0.000    0.000    0.000 collection.py:701(insert_many)
      118    0.003    0.000    0.005    0.000 collection.py:79(__init__)
        1    0.000    0.000    0.000    0.000 comments.py:14(Comments)
        1    0.000    0.000    0.000    0.000 comments.py:8(<module>)
      116    0.000    0.000    0.000    0.000 common.py:1006(is_signed_integer_dtype)
      116    0.000    0.000    0.000    0.000 common.py:1063(is_unsigned_integer_dtype)
      232    0.000    0.000    0.005    0.000 common.py:1163(is_datetime64_any_dtype)
       58    0.000    0.000    0.001    0.000 common.py:126(_stringify_path)
      174    0.000    0.000    0.000    0.000 common.py:155(validate_boolean)
      116    0.000    0.000    0.000    0.000 common.py:1585(is_float_dtype)
      116    0.000    0.000    0.001    0.000 common.py:1619(is_bool_dtype)
      696    0.001    0.000    0.002    0.000 common.py:1743(is_extension_array_dtype)
      116    0.000    0.000    0.000    0.000 common.py:1850(_get_dtype)
      986    0.002    0.000    0.005    0.000 common.py:1886(_is_dtype_type)
      464    0.000    0.000    0.001    0.000 common.py:2020(pandas_dtype)
      754    0.000    0.000    0.000    0.000 common.py:209(classes)
      754    0.000    0.000    0.001    0.000 common.py:211(<lambda>)
      232    0.000    0.000    0.000    0.000 common.py:214(classes_and_not_datetimelike)
      232    0.000    0.000    0.000    0.000 common.py:219(<lambda>)
       58    0.000    0.000    0.000    0.000 common.py:225(is_object_dtype)
       58    0.000    0.000    0.000    0.000 common.py:230(dict_keys_to_ordered_list)
      232    0.001    0.000    0.005    0.000 common.py:240(asarray_tuplesafe)
       58    0.000    0.000    0.000    0.000 common.py:469(validate_is_mapping)
      290    0.001    0.000    0.003    0.000 common.py:508(is_datetime64_dtype)
      290    0.000    0.000    0.002    0.000 common.py:539(is_datetime64tz_dtype)
      290    0.000    0.000    0.002    0.000 common.py:577(is_timedelta64_dtype)
      232    0.000    0.000    0.002    0.000 common.py:608(is_period_dtype)
      464    0.000    0.000    0.003    0.000 common.py:642(is_interval_dtype)
      464    0.000    0.000    0.003    0.000 common.py:678(is_categorical_dtype)
      118    0.000    0.000    0.001    0.000 common.py:782(__init__)
      354    0.000    0.000    0.000    0.000 common.py:806(codec_options)
      118    0.000    0.000    0.000    0.000 common.py:813(write_concern)
       58    0.000    0.000    0.002    0.000 common.py:814(is_datetimelike)
      118    0.000    0.000    0.000    0.000 common.py:831(read_preference)
      178    0.000    0.000    0.000    0.000 common.py:840(_read_preference_for)
      236    0.000    0.000    0.000    0.000 common.py:848(read_concern)
       58    0.000    0.000    0.001    0.000 common.py:98(_expand_user)
        1    0.000    0.000    0.002    0.002 compatibility.py:8(<module>)
        1    0.000    0.000    0.000    0.000 compression_support.py:90(get_compression_context)
       58    0.000    0.000    0.001    0.000 config.py:101(_get_option)
       58    0.000    0.000    0.001    0.000 config.py:232(__call__)
       58    0.000    0.000    0.000    0.000 config.py:535(_select_options)
       58    0.000    0.000    0.000    0.000 config.py:553(_get_root)
      116    0.000    0.000    0.000    0.000 config.py:568(_get_deprecated_option)
       58    0.000    0.000    0.000    0.000 config.py:596(_translate_key)
       58    0.000    0.000    0.000    0.000 config.py:609(_warn_if_deprecated)
       58    0.000    0.000    0.001    0.000 config.py:83(_get_single_key)
